0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:05 +0800] "GET /SalonManagement/js/jquery.formatter.min.js HTTP/1.1" 200 8220
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:05 +0800] "GET /SalonManagement/js/dropify.min.js HTTP/1.1" 200 10524
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:05 +0800] "GET /SalonManagement/js/sweetalert.min.js HTTP/1.1" 200 16977
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:05 +0800] "GET /SalonManagement/js/angular-SweetAlert.min.js HTTP/1.1" 200 736
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:05 +0800] "GET /SalonManagement/js/ellipsis.js HTTP/1.1" 200 3126
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:05 +0800] "GET /SalonManagement/js/priceformat.js HTTP/1.1" 200 7695
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:05 +0800] "GET /SalonManagement/js/formatted-numbers.js HTTP/1.1" 200 416
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:05 +0800] "GET /SalonManagement/js/jquery.formatCurrency-1.4.0.js HTTP/1.1" 200 7399
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:05 +0800] "GET /SalonManagement/js/moment-with-locale.js HTTP/1.1" 200 228512
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:05 +0800] "GET /SalonManagement/js/jquery.ellipsis.min.js HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:05 +0800] "GET /SalonManagement/js/materialize.clockpicker.js HTTP/1.1" 200 23475
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:05 +0800] "GET /SalonManagement/js/lodash.min.js HTTP/1.1" 200 69244
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:05 +0800] "GET /SalonManagement/js/highcharts.js HTTP/1.1" 200 172873
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:05 +0800] "GET /SalonManagement/js/exporting.js HTTP/1.1" 200 8430
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:05 +0800] "GET /SalonManagement/js/fullcalendar.js HTTP/1.1" 200 350145
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:05 +0800] "GET /SalonManagement/js/moment.min.js HTTP/1.1" 200 39842
